Priceperweek,Population,Monthlyincome,Averageparkingpermonth,Numberofweeklyriders
3090,1186000,91000,5450,110200
3110,1179000,91500,5480,108800
3130,1172000,92000,5500,107400
3150,1165000,92500,5550,106000
3170,1158000,93000,5580,104600
3190,1151000,93500,5600,103300
3210,1144000,94000,5650,101900
3230,1137000,94500,5680,100600
3250,1130000,95000,5700,99300
3270,1123000,95500,5750,98000
3290,1116000,96000,5780,96700
3310,1109000,96500,5800,95400
3330,1102000,97000,5850,94100
3350,1095000,97500,5880,92800
3370,1088000,98000,5900,91500
3390,1081000,98500,5950,90300
3410,1074000,99000,5980,89100
3430,1067000,99500,6000,87900
3450,1060000,100000,6050,86700
3470,1053000,100500,6080,85500
3490,1046000,101000,6100,84300
3510,1039000,101500,6150,83100
3530,1032000,102000,6180,82000
3550,1025000,102500,6200,80900
3570,1018000,103000,6250,79800
3590,1011000,103500,6280,78700
3610,1004000,104000,6300,77600
3630,997000,104500,6350,76500
3650,990000,105000,6380,75400
3670,983000,105500,6400,74300
3690,976000,106000,6450,73200
3710,969000,106500,6480,72100
3730,962000,107000,6500,71000
3750,955000,107500,6550,69900
3770,948000,108000,6580,68800
3790,941000,108500,6600,67700
3810,934000,109000,6650,66600
3830,927000,109500,6680,65500
3850,920000,110000,6700,64400
3870,913000,110500,6750,63300
3890,906000,111000,6780,62200
3910,899000,111500,6800,61100
3930,892000,112000,6850,60000
3950,885000,112500,6880,58900
3970,878000,113000,6900,57800
3990,871000,113500,6950,56700
4010,864000,114000,6980,55600
4030,857000,114500,7000,54500
4050,850000,115000,7050,53400
4070,843000,115500,7080,52300
4090,836000,116000,7100,51200
4110,829000,116500,7150,50100
4130,822000,117000,7180,49050
4150,815000,117500,7200,48000
4170,808000,118000,7250,46950
4190,801000,118500,7280,45900
4210,794000,119000,7300,44850
4230,787000,119500,7350,43800
4250,780000,120000,7380,42750
4270,773000,120500,7400,41700
4290,766000,121000,7450,40650
4310,759000,121500,7480,39600
4330,752000,122000,7500,38550
4350,745000,122500,7550,37500
4370,738000,123000,7580,36450
4390,731000,123500,7600,35400
4410,724000,124000,7650,34350
4430,717000,124500,7680,33300
4450,710000,125000,7700,32250
4470,703000,125500,7750,31200
4490,696000,126000,7780,30150
4510,689000,126500,7800,29100
4530,682000,127000,7850,28050
4550,675000,127500,7880,27000
4570,668000,128000,7900,25950
4590,661000,128500,7950,24900
4610,654000,129000,7980,23850
4630,647000,129500,8000,22800
4650,640000,130000,8050,21750
4670,633000,130500,8080,20700
4690,626000,131000,8100,19650
4710,619000,131500,8150,18600
4730,612000,132000,8180,17550
4750,605000,132500,8200,16500
4770,598000,133000,8250,15450
4790,591000,133500,8280,14400
4810,584000,134000,8300,13350
4830,577000,134500,8350,12300
4850,570000,135000,8380,11250
4870,563000,135500,8400,10200
4890,556000,136000,8450,9150
4910,549000,136500,8480,8100
4930,542000,137000,8500,7050
4950,535000,137500,8550,6000
4970,528000,138000,8580,4950
4990,521000,138500,8600,3900
5010,514000,139000,8650,3200
5030,507000,139500,8680,2800
5050,500000,140000,8700,2400
5070,493000,140500,8750,2100
5090,486000,141000,8780,1900
5110,479000,141500,8800,1700
5130,472000,142000,8850,1500
5150,465000,142500,8880,1350
5170,458000,143000,8900,1200
5190,451000,143500,8950,1100
5210,444000,144000,8980,1000
5230,437000,144500,9000,950
5250,430000,145000,9050,900
5270,423000,145500,9080,850
5290,416000,146000,9100,800
5310,409000,146500,9150,760
5330,402000,147000,9180,720
5350,395000,147500,9200,680
5370,388000,148000,9250,650
5390,381000,148500,9280,620
5410,374000,149000,9300,600
5430,367000,149500,9350,580
5450,360000,150000,9380,560
5470,353000,150500,9400,540
5490,346000,151000,9450,520
5510,339000,151500,9480,500
5530,332000,152000,9500,490
5550,325000,152500,9550,480
5570,318000,153000,9580,470
5590,311000,153500,9600,460
5610,304000,154000,9650,450
5630,297000,154500,9680,440
5650,290000,155000,9700,430
5670,283000,155500,9750,420
5690,276000,156000,9780,410
5710,269000,156500,9800,400
5730,262000,157000,9850,390
5750,255000,157500,9880,380
5770,248000,158000,9900,370
5790,241000,158500,9950,360
5810,234000,159000,9980,350
5830,227000,159500,10000,340
5850,220000,160000,10050,330
5870,213000,160500,10080,320
5890,206000,161000,10100,310
5910,199000,161500,10150,300
5930,192000,162000,10180,290
5950,185000,162500,10200,280
5970,178000,163000,10250,270
5990,171000,163500,10280,260
